mol,name,pIC50,ast_fraglike,b_triple,density,FCharge,GCUT_PEOE_0,GCUT_PEOE_2,GCUT_SLOGP_1,logP(o/w),PEOE_RPC+,PEOE_VSA-0,PEOE_VSA_FPOL,Q_VSA_FPNEG,Q_VSA_FPPOS,VDistEq
O([C@@H]([C@H]1N2C[C@H](C=C)[C@H](C1)CC2)c1c2c(ncc1)ccc(OC)c2)C(=O)CCCCCCc1nnn(CCCCC(O[C@@H]([C@H]2N3C[C@H](C=C)[C@H](C2)CC3)c2c3c(ncc2)ccc(OC)c3)=O)c1,CHEMBL2042912,5.5528421,0,0,0.70892078,0,-0.84889138,0.038117327,-0.31746715,8.1610003,0.058165673,207.15279,0.087102242,0.17542364,0.058819186,4.7674618
Clc1c(CN2CCN(c3ncnc4c3sc3nc(C)cc(C)c43)CC2)cccc1,CHEMBL4518044,5.5512938,0,0,0.77233589,0,-0.8467896,0.013641227,-0.28348181,4.052,0.1083306,70.606842,0.043181494,0.043181494,0.22133054,3.665324
Fc1c(F)ccc(C2N(C(=O)c3cc(OC)c(OC)cc3)CCc3c4c([nH]c23)cccc4)c1,CHEMBL4578134,5.5436339,0,0,0.76854044,0,-0.85428327,0.048472065,-0.30071634,5.3727398,0.10295856,86.64782,0.13582726,0.061878368,0.060508594,3.4925168
Brc1c(-c2c(c(C)on2)C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OCc2nnn(CCOCCOCCOCCOCCOCCn3nnc(COC(=O)C4=C(C)NC(C)=C(C(=O)OCC)C4c4c(C)onc4-c4c(Br)cccc4)c3)c2)cccc1,CHEMBL4071511,5.5433302,0,0,0.83338195,0,-0.81676525,-0.057950366,-0.26508644,4.8429599,0.040645391,261.74094,0.12116832,0.17635749,0.097921066,5.2966466
O(C)c1cc(Nc2c3c(nc(-c4ccccc4)c2)cccc3)ccc1,CHEMBL4455303,5.5421181,0,0,0.68986142,0,-0.80217153,0.072860882,-0.26386139,5.4390001,0.088341765,61.274521,0.025555354,0.025555354,0.067603707,3.3174014
O=C(Nc1c(-c2nn(-c3ccc(OC)cc3)nn2)cccc1)c1ccc(OC)cc1,CHEMBL3885456,5.5406075,0,0,0.75576591,0,-0.80598855,0.08336626,-0.3508164,3.319,0.11789821,135.70854,0.10899898,0.12899585,0.086124651,3.808573
Fc1ccc(C(CCCN2CCC(N3C(=O)Nc4c3cccc4)CC2)c2ccc(F)cc2)cc1,CHEMBL1423,5.5376019,0,0,0.72700459,0,-0.85831678,0.083038203,-0.2703262,5.9629998,0.14432985,125.94408,0.1239392,0.03090228,0.065858826,3.910579
O([C@@H]([C@H]1N2C[C@H](C=C)[C@H](C1)CC2)c1c2c(ncc1)ccc(OC)c2)C(=O)CCCCCCn1nnc(CCCCC(O[C@@H]([C@H]2N3C[C@H](C=C)[C@H](C2)CC3)c2c3c(ncc2)ccc(OC)c3)=O)c1,CHEMBL2042911,5.5376019,0,0,0.70892078,0,-0.84889072,0.038117576,-0.31836274,8.1610003,0.058166288,207.15279,0.087102242,0.17542364,0.058819186,4.7674618
O=C1N(C)[C@@H](C(C)C)C(=O)N[C@H](C(=O)N(C)[C@H](C)C(=O)N2[C@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(O)(C)C)C(=O)O[C@@H]1[C@H](CC)C)CCC2)C1CCCCC1,CHEMBL2369621,5.5361071,0,0,0.70890367,0,-0.84150553,0.026500152,-0.31071049,5.881,0.040845919,99.749596,0.23142576,0.33331427,0.16338736,4.0124469
O(C)c1c(OC)ccc(C(C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)c1,CHEMBL6966,5.5257835,0,1,0.67667478,0,-0.86108142,-0.1071291,-0.30175847,5.35148,0.043944869,115.97165,0.018714931,0.12193709,0.037933391,3.9250216
N(c1nc(-c2ccccc2)nc2c1cccc2)c1cc(C)ccc1,CHEMBL1474597,5.5228786,0,0,0.68678415,0,-0.78401476,0.071114771,-0.25689018,5.0780001,0.11038628,69.97583,0.037243389,0.037243389,0.12207085,3.2425001
O=C1N(C)[C@@H]([C@H](O)[C@@H](C/C=C/C)C)C(=O)N[C@@H](C)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H]1C(C)C,CHEMBL2372474,5.5228786,0,0,0.70326138,0,-0.83984095,0.034657773,-0.33870965,4.4809999,0.028867034,118.49728,0.22826521,0.3545112,0.17684063,4.3033442
Brc1ccc(-c2c(c(C)on2)C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OCC)cc1,CHEMBL4062893,5.5091991,0,0,0.83423144,0,-0.81098634,-0.050172776,-0.26734284,4.5419998,0.13059361,118.24819,0.15176827,0.18109304,0.10043904,3.2672668
O=[N+]([O-])c1c(NC(=O)c2cc(OC)c(O)c(O)c2)ccc(-c2cc(OC)c(O)c(O)c2)c1,CHEMBL1945976,5.5086384,0,0,0.83643913,0,-0.79106623,0.15170135,-0.37298101,3.609,0.086720333,65.691597,0.3505922,0.20288473,0.16212176,3.7308693
O=C(Nc1ccc(CCN2Cc3c(cc(OC)c(OC)c3)CC2)cc1)COc1ccccc1,CHEMBL473795,5.5086384,0,0,0.70640832,0,-0.85058987,0.067861535,-0.31781477,4.2097402,0.098907225,97.557671,0.073963672,0.045928966,0.075254522,4.1540127
O(C)c1c(OC)ccc(Nc2nc(-c3cnccc3)nc3c2cccc3)c1,CHEMBL4100665,5.5072398,0,0,0.73131645,0,-0.7880097,0.056780595,-0.32292521,3.20874,0.081173547,85.784325,0.062650993,0.062650993,0.10643066,3.434258
Brc1c(OC)cc(Nc2nc(-c3cc(OC)c(OC)cc3)nc3c2cccc3)cc1,CHEMBL4160529,5.5016894,0,0,0.82796526,0,-0.78743529,0.049034197,-0.33351049,5.2307401,0.074734233,141.66408,0.045522701,0.045522701,0.090262644,3.5613852
O(CCCCCN1Cc2c(cccc2)CC1)c1c(CCc2cc(OC)ccc2)cccc1,CHEMBL519228,5.4989409,0,0,0.65802556,0,-0.85201114,0.060992487,-0.27083459,6.8860002,0.041178059,110.99908,0.01091342,0.01091342,0.028751479,4.1103082
O=C1C(O)=C(c2ccccc2)Oc2c1ccc(O)c2,CHEMBL210276,5.4948502,1,0,0.77935869,0,-0.76331574,0.16071568,-0.32631475,2.8859999,0.13212608,36.764713,0.26268181,0.12591396,0.125935,2.9297984
O=C1[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)O1,CHEMBL223643,5.4948502,0,0,0.74336368,0,-0.81425172,0.036882624,-0.30849689,7.6059999,0.034184001,56.243034,0.28797656,0.47830874,0.22226791,4.3232613
O(C(C)(C)C)C(=O)N1C2C3(CO)[C@H](c4ccccc4)C4C5N(C(OC(C)(C)C)=O)C3C2[C@H](c2ccccc2)C5(CO)C14,CHEMBL379211,5.4948502,0,0,0.72902673,0,-0.8367818,0.058472123,-0.28182027,3.904,0.10799283,116.90314,0.1908243,0.28637376,0.12807803,3.4065466
O=C(Nc1c(-c2nn(-c3cc(OC)c(OC)cc3)nn2)cccc1)c1ccc(OC)cc1,CHEMBL3883362,5.4948502,0,0,0.76195717,0,-0.8059848,0.056865972,-0.35046083,3.0617399,0.104441,123.45364,0.1066248,0.12510625,0.079597898,3.8535705
O(C)c1c(OC)cc(C(C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)cc1OC,CHEMBL51149,5.4948502,0,1,0.68555993,0,-0.86108321,-0.1071277,-0.30079567,5.0942202,0.050386548,115.97165,0.022064527,0.11942201,0.035778165,3.9394572
Clc1cc(N2CCN(CCOc3c(CCc4cc(OC)ccc4)cccc3)CC2)ccc1,CHEMBL515853,5.4948502,0,0,0.70705771,0,-0.8491351,0.035402425,-0.30886045,5.6739998,0.039553307,95.349129,0.010660135,0.010660135,0.0561684,4.0429974
O(C)c1c(OC)cc(C2=C(O)C(=O)c3c(O)cc(O)cc3O2)cc1OC,CHEMBL75258,5.4948502,0,0,0.81888193,0,-0.78678137,0.013231213,-0.39849326,2.0544801,0.081522405,49.019615,0.25547484,0.13135724,0.11670703,3.2626138
O(C)c1c(OC)c2Oc3c(OC)cc4c([C@@H](N(C)CC4)Cc4ccc(Oc5c(OC)ccc(c5)C[C@@H]5N(C)CCc(c1OC)c25)cc4)c3,CHEMBL504936,5.492116,0,0,0.71815717,0,-0.8508718,-0.083252266,-0.29747993,6.4424801,0.039912183,165.85475,0.027222231,0.019444451,0.009772752,3.5511754
Brc1ccc(-c2c(c(C)on2)C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OCc2nnn(CCOCCOCCOCCn3nnc(COC(=O)C4=C(C)NC(C)=C(C(=O)OCC)C4c4c(C)onc4-c4ccc(Br)cc4)c3)c2)cc1,CHEMBL4080120,5.4906631,0,0,0.84089082,0,-0.81673181,-0.049840987,-0.26783317,5.5074801,0.045700889,199.00104,0.12739998,0.18746369,0.10656986,5.1037407
O=C(OC)[C@@H]1[C@@H](OC)[C@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)C[C@H]2[C@@H]1C[C@H]1N(C2)CCc2c3c([nH]c12)cc(OC)cc3,CHEMBL772,5.4899998,0,0,0.75468296,0,-0.85639793,-0.054629762,-0.31854016,3.6812201,0.07755404,89.586998,0.12801111,0.088589862,0.071034417,3.9888499
S(F)(=O)(=O)c1cc(Nc2nc(-c3cc(OC)c(OC)cc3)nc3c2cccc3)ccc1,CHEMBL4161988,5.4867826,0,0,0.81283051,0,-0.7839005,0.050348606,-0.38519508,4.1897402,0.11742919,73.529427,0.13110785,0.12069944,0.12332556,3.5911295
Brc1c(C(=O)Nc2ccc(CCN3Cc4c(cc(OC)c(OC)c4)CC3)cc2)cccc1,CHEMBL408709,5.4814858,0,0,0.7913577,0,-0.85058683,0.06148731,-0.28078848,5.2217398,0.11565565,141.18251,0.068973139,0.0407626,0.075726517,4.0256004
O=C(N1C(c2cc(OC)ccc2)c2[nH]c3c(c2CC1)cccc3)c1ccc(OC)cc1,CHEMBL4592538,5.4710832,0,0,0.71457738,0,-0.85432833,0.06367743,-0.31063253,5.2820001,0.1148341,98.902718,0.079225853,0.063243806,0.061843805,3.4506228
O=C1N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@H](O)[C@@H](C/C=C/C)C)C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1CC(C)C,CHEMBL2372494,5.4685211,0,0,0.70140076,0,-0.83984077,0.03537783,-0.33784604,5.0949998,0.028676677,108.45091,0.22540928,0.35007575,0.17462809,4.3006535
O=C1N(C)[C@@H]([C@H](O)[C@@H](C/C=C/C)C)C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H]1[C@H](C=C)C,CHEMBL2372497,5.4685211,0,0,0.69839638,0,-0.83992141,0.03390478,-0.3345719,5.099,0.028410468,108.45091,0.21847513,0.35048953,0.16326272,4.3019161
